player,height,improvement,points
A.J. VAN BRUGGEN ,198,0,0.663951226
AARON BADER ,183,-0.063279558,1.061497103
AARON BOOGAARD ,191,0.005787471,0.315834889
AARON BOYD ,190,0.016709846,0.380612381
AARON FOSTER ,194,0.023281209,1.201119925
AARON GAGNON ,178,0.076776836,1.314138772
AARON GOLDADE ,185,0.014427044,1.149307232
AARON HAREUTHER ,178,0,0.065184081
AARON LEWADNIUK ,183,0.597078245,1.298658233
AARON MACKLIN ,188,0.005507536,0.236942801
AARON MCGILL ,188,0,0.065184081
AARON MILLAR ,175,0.020607322,1.052858597
AARON RICHARDS ,185,-0.045014496,0.912268946
AARON ROBERGE ,193,0.170460266,0.663752162
AARON SHRIEVES ,188,0,0
AARON STARR ,193,0,0.120983674
AARON WINTERHOLT ,185,0.199557134,0.384446035
ADAM BASFORD ,185,0,0.682479734
ADAM BERG ,185,0.101242509,0.655539624
ADAM BREITKREUZ ,182,-0.261122937,0.171897715
ADAM BROOKS ,180,0.561428583,1.270506321
ADAM CHORNEYKO ,183,0.236001082,0.599961378
ADAM COURCHAINE ,178,-0.025863108,1.546281832
ADAM CRACKNELL ,188,0.294392172,1.071530783
ADAM DE CHAMPLAIN ,185,-0.196671835,0.410099915
ADAM GERIC ,182,-0.085983832,0.091385386
ADAM HASCIC ,177,0,0.302459184
ADAM HELEWKA ,188,0.211348765,1.457855344
ADAM HOBSON ,186,0.142907878,0.97928465
ADAM HOULE ,180,0.041252937,0.305293937
ADAM HUGHESMAN ,181,-0.063282717,1.853305236
ADAM HUXLEY ,183,0.115265493,0.219752763
ADAM KAMBEITZ ,185,0.078761018,0.69327174
ADAM LOWRY ,195,-0.083454312,1.744375827
ADAM MATLOCK ,191,0,0.13741509
ADAM MUSIL ,191,-0.292247968,1.407553549
ADAM REHAK ,180,0,0.335146298
ADAM ROSSIGNOL ,183,-0.018274095,0.404430325
ADAM SMITH ,188,0,0
ADAM STEFISHEN ,182,0,0.484224602
ADAM TAMBELLINI ,188,0,1.68654266
ADAM TAYLOR ,186,0.098698548,0.85249104
ADRIAN FOSTER ,183,0,1.340585191
AJAY BAINES ,180,-0.203811329,1.383570979
AKI KANGASMÄKI ,190,0,0.32262313
AKI SEITSONEN ,188,-0.326139968,1.129823032
ALAN MANNESS ,183,0.045123442,1.140823706
ALBIN BLOMQVIST ,192,-0.004064852,0.131766477
ALEC BAER ,178,-0.038066639,1.010453154
ALESSIO BERTAGGIA ,174,0.220535638,1.434319466
ALEX ALDRED ,176,-0.020403288,0.811686021
ALEX ARGYRIOU ,178,0,0.940761538
ALEX ELLIOTT ,183,0,0.499115694
ALEX FORSBERG ,180,-0.269094993,1.605418973
ALEX LEAVITT ,178,-0.1144812,1.226700146
ALEX LENTOWICH ,183,0.14895391,0.292992448
ALEX MOWBRAY ,180,0.06873507,0.355719166
ALEX OVERHARDT ,183,0.175976654,0.485248151
ALEX POULTER ,186,-0.013031722,0.822964616
ALEX SCHOENBORN ,185,0.230490041,0.960275534
ALEXANDER CHIRVA ,186,0,0.250311049
ALEXANDER DELNOV ,185,-0.014010419,1.196538548
ALEXANDER GOGOLEV ,179,0.493926654,1.354403267
ALEXANDER KUVAYEV ,188,-0.353237744,0.824625325
ALEXANDER RODGERS ,175,-0.036033614,0.932512474
ALEXANDER SHELKUNOV ,185,0,0.518501459
ALEXANDER TRUE ,193,0.070248825,0.799231826
ALEXANDER VIKLUND ,182,-0.391544549,0.644392127
ALEXEI BUDAYEV ,188,-0.57778498,0.917634182
ALEXEI ZHURBA ,174,0,0.166874033
ANDERS LÖVDAHL ,191,0.121985311,0.491013011
ANDRE HERMAN ,182,0.089139935,0.384030325
ANDREAS EDER ,189,0,0.382053707
ANDREAS SCHUMACHER ,195,-0.175134713,0.355684395
ANDREAS STENE ,190,0,0.389988419
ANDREJ KUDRNA ,189,0.15942383,1.463302082
ANDREJ PODKONICKY ,184,-0.144734481,1.622418868
ANDREJ STASTNY ,191,0,1.256798617
ANDREW BAILEY ,183,0.015089522,1.199293925
ANDREW BERGEN ,181,0.01679413,0.826242533
ANDREW CLARK ,177,0.127875717,1.284294714
ANDREW COATS ,178,0,0.105873026
ANDREW DAVIDSON ,185,-0.044765615,0.50242531
ANDREW GUINDON ,188,0,0.308894486
ANDREW HERLE ,176,0.188280111,0.25058185
ANDREW JOHNSON ,175,-0.24994512,0.871467488
ANDREW KOEP ,175,-1.143595337,1.09694266
ANDREW LADD ,190,-1.382679648,1.864653284
ANDREW LUCIUK ,183,0.453986183,0.981786736
ANDREW RIEDER ,183,0.143755553,0.482503153
ANDREW SULLIVAN ,188,-0.119000335,0.059500167
ANDREW WASMUTH ,183,0.052398417,0.27543246
ANDY BLANKE ,188,0.050472999,0.222860336
ANDY BOSSENCE ,185,0,0.110529529
ANDY SMITH ,183,-0.239002655,0.822361019
ANTHONY AST ,175,-0.286197917,0.882025023
ANTHONY BARDARO ,173,0.201872291,1.054398472
ANTON BORODKIN ,180,-0.256661276,0.92631599
ANTONÍN HONEJSEK ,182,0.212199964,1.117912584
ANTTI-JUSSI MIETTINEN ,175,0,0.868897809
ARRON ASHAM ,180,0.072462654,2.113073114
ARTHUR MILLER ,175,0,0.130368162
ASHLEY WESLING ,191,0,0.234662692
ASHTON HEWSON ,196,0.033851546,0.421800005
ASHTON ROME ,186,0.12218184,1.126329426
ASPEN STERZER ,180,0.161839612,0.696347806
AUSTIN ADAMSON ,180,0.005559565,0.26247742
AUSTIN BOURHIS ,185,-0.199554041,0.142335281
AUSTIN CALLADINE ,180,0,0.317619078
AUSTIN CARROLL ,191,0.172903889,1.070427462
AUSTIN CONNOR ,193,0,0.533148393
AUSTIN DAAE ,183,-0.041225624,0.330994086
AUSTIN FERGUSON ,185,0,0.249557847
AUSTIN FYTEN ,185,0.244641462,1.122237459
AUSTIN GLOVER ,188,0.248997614,0.902050611
AUSTIN GRAY ,183,0,0.105924132
AUSTIN VETTERL ,180,-0.003848286,0.618632819
AUSTIN WAGNER ,190,0.667362185,1.07149084
AUSTIN WELLSBY ,191,0.354562999,0.246415027
AUSTYN PLAYFAIR ,195,0.186857551,0.302021316
AXEL BLOMQVIST ,200,-0.028372556,1.370043895
B.J. YOUNG ,178,0.021767324,2.169228395
BARRETT HEISTEN ,185,0,1.602640891
BARRY HORMAN ,185,0.063086264,0.456111617
BEAU MCCUE ,185,-0.137536272,1.007226386
BEN DUPERREAULT ,175,-0.128787837,0.443928142
BEN JOHNSON ,178,0,0.423696527
BEN KILGOUR ,182,0.155741567,1.30500186
BEN KNOPP ,184,-0.294937212,1.693086637
BEN MAXWELL ,185,0.092743028,1.624918309
BEN ONDRUS ,180,0.164449935,1.011128701
BEN THOMSON ,171,-0.049593937,1.609572649
BEN VAN LARE ,186,0,0.325005568
BEN WALKER ,180,-0.167264007,1.117446895
BERKELEY BUCHKO ,180,0.076790942,0.995807415
BERKLEY PENNOCK ,183,-0.05868344,0.52058407
BERNHARD KEIL ,184,0,0.29474541
BEVIN GUENTHER ,183,-0.040608726,0.480317735
BILL VANDERMEER ,180,0,0.370734461
BJÖRN SVENSSON ,182,0.258548639,0.882741766
BLAINE STOWARDS ,180,-0.214471034,0.871212956
BLAIR BETTS ,191,-0.092390739,1.972401256
BLAIR JONES ,188,0.296929512,1.132899116
BLAIR MACAULAY ,181,-0.127842836,0.57444632
BLAIR MANNING ,174,-0.713259993,1.723588404
BLAIR ONESCHUK ,180,0.034033861,0.284614737
BLAIR ROTA ,178,-0.410746085,0.770301746
BLAIR STENGLER ,193,-0.335049534,0.544143902
BLAIR WENTWORTH ,178,-0.068993614,0.222685734
BLAKE COMEAU ,185,0.059667637,1.372897573
BLAKE EVANS ,184,0.177194194,1.345869517
BLAKE GAL ,185,-0.01622862,0.904681441
BLAKE PENNER ,178,0.042217162,0.591209975
BLAKE ROBSON ,183,-0.078131645,1.621834449
BOB MAUDIE ,183,0.447548797,1.106794053
BOBBY ALMEIDA ,173,-0.491710161,1.505710531
BOBBY BROWN ,183,0.458673652,1.211108423
BOBBY DUNCAN ,180,0.006511445,0.420440805
BOBBY LEAVINS ,185,0.019351821,0.607885289
BOBBY RUSSELL ,186,0.432057371,1.254929785
BOBBY WILLIAMS ,180,0,0.164011559
BOBBY-CHAD MITCHELL ,188,-0.031120958,0.498520424
BORIS LECKOVIC ,186,-0.009621837,0.103672398
BORIS PROTSENKO ,182,-0.444918614,1.972311699
BOSTJAN GOLICIC ,183,0.228496426,1.006240902
BOSTON LEIER ,180,0.271741191,0.899968368
BOYD GORDON ,183,0.009898975,1.616259776
BOYD KANE ,188,0.069719219,1.853457832
BOYD OLSON ,185,-0.245429215,0.663273153
BRAD BROWN ,185,-0.343310915,0.747768189
BRAD CHURCH ,186,-0.223294453,2.240290388
BRAD COTE ,183,0.255541332,0.180372263
BRAD CRUIKSHANK ,175,0,0.453688777
BRAD ERICKSON ,175,0.107647543,0.420201838
BRAD HOBAN ,180,0.110095506,0.844431528
BRAD ISBISTER ,191,0.357011132,1.548980284
BRAD LARSEN ,183,0.033606345,2.096731766
BRAD LEEB ,180,0.250953682,1.232391434
BRAD MEHALKO ,182,0.10939288,1.330592892
BRAD MORAN ,180,-0.035829047,2.211015659
BRAD MORRISON ,183,0.062699511,1.52100374
BRAD PRIESTLAY ,178,-0.034602596,0.795149219
BRAD RIEGE ,188,0.044615682,0.422720219
BRAD ROHRIG ,180,0.030533578,0.521606961
BRAD ROSS ,184,-0.018978751,1.792140843
BRAD SCHELL ,182,0.196647935,1.347933212
BRAD SUTHERLAND ,185,0,0.60469786
BRAD TWORDIK ,178,-0.473748866,2.191383448
BRAD VOTH ,196,0.004663714,0.43143867
BRAD WILSON ,175,-0.051710345,0.773927398
BRADEN APPLEBY ,185,0.03185059,0.312330146
BRADEN CHRISTOFFER ,178,0.248988956,0.749883612
BRADEN OLEKSYN ,180,0,0.284667468
BRADEN PURTILL ,183,-0.273688521,0.466442558
BRADLEY TUTSCHEK ,182,-0.057672252,0.684452265
BRADY BRASSART ,185,0.137158283,1.336613825
BRADY CALLA ,184,-0.07203825,1.008119902
BRADY LEAVOLD ,180,0.35450799,0.852817261
BRADY MAGNESON ,188,0,0.216042275
BRADY MASON ,183,0.229814604,0.240871087
BRADY RAMSAY ,180,0.133027289,0.719833788
BRAEDEN ADAMYK ,178,0,0.366617193
BRAEDEN JOHNSON ,178,0.281256191,0.296736062
BRANDAN ARNOLD ,173,0,0.121056151
BRANDEN TROOCK ,188,0.127951989,1.135486121
BRANDIN COTE ,173,-0.036309033,1.299710464
BRANDON BADDOCK ,191,0.075142812,0.585554549
BRANDON BRUCE ,178,0,0.071166867
BRANDON CAMPOS ,179,0.811212714,1.012693918
BRANDON DUBINSKY ,188,-0.209784586,1.98859849
BRANDON FUSHIMI ,183,-0.033205519,0.862834634
BRANDON HERROD ,183,-0.053428884,1.418757995
BRANDON KOZUN ,173,0.539830333,1.810704139
BRANDON MAGEE ,175,-0.053980042,1.515061404
BRANDON MCMILLAN ,180,0.24014462,1.2447472
BRANDON PEET ,188,0.232572762,0.358253729
BRANDON POTOMAK ,180,-0.370948954,0.298460218
BRANDON RALPH ,188,-0.165510882,0.333086216
BRANDON SCHOLTEN ,188,0,0.06539658
BRANDON SEGAL ,188,0.150409503,1.18247639
BRANDON SUTTER ,190,-0.477962692,1.904516199
BRANDON TIDBALL ,183,0,0.155209378
BRANT MIDDLETON ,179,0,0.049381091
BRAYDEN BROWN ,183,0,0.317334226
BRAYDEN BURKE ,178,0.606934568,2.262250574
BRAYDEN CUTHBERT ,175,0,0.358339473
BRAYDEN GELSINGER ,178,0,0
BRAYDEN LOW ,188,0.149064148,0.38655576
BRAYDEN METZ ,183,0.016067718,0.41739366
BRAYDEN NARGANG ,188,0,0.108343588
BRAYDEN POINT ,180,-0.214457711,2.736430874
BRAYDEN SCHENN ,185,-0.356872893,3.069776149
BRAYLON SHMYR ,178,0.029618666,1.132643735
BRENDAN GALLAGHER ,174,-0.089920113,2.263326642
BRENDAN HOLTERHUS ,193,0,0
BRENDAN HURLEY ,183,0.055533499,0.387703287
BRENDAN LEIPSIC ,175,0.184479226,2.219659629
BRENDAN PERSLEY ,185,0.450171809,0.225085905
BRENDAN RANFORD ,178,-0.025483759,1.808984698
BRENDAN ROUSE ,183,-0.0283724,0.775791758
BRENDAN ROWINSKI ,180,-0.039894034,1.1103693
BRENDAN SANTINI ,185,0,0.430164173
BRENDAN SHINNIMIN ,178,0.435721982,1.854957135
BRENDEN DOWD ,183,0.191078294,0.956955665
BRENDEN MORROW ,180,0.071714062,2.08855986
BRENDEN SILVESTER ,181,0.124339805,0.520526061
BRENDEN WALKER ,183,0.182298841,1.227331053
BRENNAN BOSCH ,170,0.14251599,0.992874302
BRENNAN SONNE ,180,0.122274328,0.225255135
BRENNAN TUTT ,193,0,0
BRENNAN ZASITKO ,180,-0.071877586,0.338397977
BRENNEN WRAY ,186,-0.069946502,0.653850744
BRENT ASCROFT ,178,-0.142849926,1.868563095
BRENT BENSON ,180,-0.261686942,0.9877896
BRENT DODGINGHORSE ,183,0.126441734,0.999101095
BRENT HENKE ,191,0.036286174,0.370263041
BRENT HILL ,178,-0.109335949,1.037660699
BRENT HOBDAY ,183,0.008707607,0.891925423
BRENT HOWARTH ,185,0.144263001,0.515002198
BRENT MARTIN ,186,0,0
BRENT MCDONALD ,180,0.153313979,0.94693392
BRENT OTTMANN ,185,0.045233846,0.687779771
BRENT RAEDEKE ,183,0.000436757,1.138699628
BRENT TWORDIK ,178,0.038123332,1.023946008
BRET DECECCO ,180,-0.359480879,2.128154046
BRETT ALLAN ,193,0.036338294,0.865838981
BRETT BREITKREUZ ,185,0.036921904,0.767868107
BRETT BROOKS ,183,-0.197773111,0.176940539
BRETT BULMER ,193,0.039600951,1.504727652
BRETT CONNOLLY ,188,-0.564058255,2.731785416
BRETT DRANEY ,183,0.235794191,0.940564824
BRETT FERGUSON ,184,0.165258287,0.79185598
BRETT GIRARD ,180,0.104147774,1.051984953
BRETT KITT ,185,-0.532909653,0.387510977
BRETT LEFFLER ,183,0.02810787,0.800931988
BRETT LYON ,185,0.136221012,0.357845333
BRETT LYSAK ,183,-0.537056877,2.528104505
BRETT MCLEAN ,180,-0.030205509,2.194750179
BRETT MILLER ,191,-0.11468314,0.211413034
BRETT NOVAK ,188,0.006967841,0.6126305
BRETT O'MALLEY ,181,-0.062633238,0.674263373
BRETT PARKER ,180,-0.183113454,0.836498607
BRETT POLLOCK ,191,0.293546024,1.294293206
BRETT ROBERTSON ,183,0.057616349,0.866746183
BRETT ROULSTON ,183,-0.103633121,0.275247426
BRETT SONNE ,183,0.319390422,1.374963947
BRETT STOVIN ,185,0.025627514,0.735694387
BRETT SUTTER ,183,0.106696573,0.977734
BRETTON CAMERON ,180,0.163837847,0.897445476
BRIAN BALLMAN ,185,-0.020626492,0.770178312
BRIAN HARRIS ,178,0,0.648670254
BRIAN MATTE ,180,0,0.75449003
BRIAN PATTERSON ,197,0.04827507,0.276031713
BRIAN SOMMERS ,178,-0.096111058,0.27032256
BRIAN SUTHERBY ,188,0.210214914,1.700280566
BRIAN WILLIAMS ,173,-0.187538558,1.085909195
BRIAN WOOLGER ,181,0.095691746,0.830295886
BRITT DOUGHERTY ,188,-0.01540004,0.065986333
BROCK BALSON ,183,0.090882709,0.196670947
BROCK HIRSCHE ,188,-0.203616413,0.679825114
BROCK MONTGOMERY ,188,0.150261099,0.704928054
BROCK NIXON ,182,0.245596842,0.983777066
BROCK ZIMAK ,179,0,0.268852608
BRODIE DUPONT ,188,0.238208047,1.150768392
BRODY SUTTER ,195,0.28763757,0.780391706
BRODYN NIELSEN ,181,0,0.17283382
BROGAN O'BRIEN ,190,0,1.336732705
BROOKS LAICH ,188,0.538926445,1.62840831
BROOKS MACEK ,180,-0.154567535,1.455354742
BROOKS MAXWELL ,183,-0.000711056,0.903099443
BRUCE HARRISON ,188,0.02276864,0.368380905
BRUNO MRÁZ ,184,0,0.484224602
BRYAN KAUK ,188,-0.146746878,0.579081706
BRYAN KONDO ,183,0,0.50385533
BRYAN RANDALL ,195,0.125584031,0.570434278
BRYAR ORTYNSKI ,188,0,0
BRYCE LAMB ,184,-0.129471418,0.559647858
BRYN BRUCKS ,188,0.093897738,0.285163177
BRYSON GORE ,180,-0.112463852,0.504851778
BUD HOLLOWAY ,184,0.283100549,1.266483895
BURKE GALLIMORE ,184,-0.293242132,1.161497424
BYRON FROESE ,183,-0.182163129,1.647902817
BYRON RITCHIE ,179,0.510630031,2.170024135
C.J. JACKSON ,188,-0.013483373,0.284409135
C.J. STRETCH ,181,0.141126978,1.181433091
CAIN FRANSON ,188,0.238812901,1.01336272
CAINE PEARPOINT ,188,0.064099428,0.723151657
CAL BABYCH ,178,-0.04379636,0.544322836
CALDER BROOKS ,183,0.057143888,0.970598598
CALE JEFFERIES ,188,-0.106001056,0.398264122
CALEB BELTER ,185,0.165377793,0.353038874
CALVIN CROWE ,191,0,0.158886198
CALVIN SPENCER ,185,-0.041224901,0.384588949
CALVIN THÜRKAUF ,188,0,1.250252047
CAM CUNNING ,185,0.077017982,0.743263536
CAM LILLEY ,189,0.043537838,0.251470745
CAM MACLISE ,191,0,0.529303573
CAM MCCAFFREY ,185,0.190160829,0.273898759
CAM PADDOCK ,185,0.030711724,1.031554326
CAM REID ,188,0,1.246125469
CAM SEVERSON ,188,0.12579923,1.008043714
CAMERON ABNEY ,195,0.122611137,0.324168138
CAMERON BRAES ,178,0.102658119,1.131371976
CAMERON HEBIG ,178,0.313115591,1.560702614
CAMPBELL ELYNUIK ,188,0.116473654,0.330012475
CARSEN GERMYN ,178,0.053060587,1.477278296
CARSON BOLDUC ,183,0.06276684,0.484284698
CARSON MCMILLAN ,185,0.348357012,0.695777822
CARSON PERREAUX ,191,0.138182612,0.635598979
CARSON SAMORIDNY ,191,0.418281826,0.35578779
CARSON STADNYK ,188,0.155962905,0.869946906
CARTER AMSON ,186,-0.114386416,0.094036384
CARTER ASHTON ,190,0.18486542,1.344846734
CARTER BANCKS ,180,-0.041383051,1.086594588
CARTER FOLK ,188,0.097063788,0.546416828
CARTER POPOFF ,175,-0.156930826,1.045044941
CARTER PROFT ,183,0.093137572,0.348942991
CARTER RIGBY ,183,-0.159434795,0.992180022
CARTER SMITH ,186,0.115877544,0.416155927
CASEY LEE ,185,0.099725838,0.653237932
CASEY PIERRO-ZABOTEL ,188,0.481013821,1.900705547
CASS MAPPIN ,183,-0.10085317,1.113169963
CAVIN LETH ,183,0.107514457,0.308103625
CHAD BASSEN ,183,0.026490204,0.696153839
CHAD BEAGLE ,175,0.150598854,0.758535256
CHAD BUTCHER ,178,0.285163684,1.093327169
CHAD ELMY ,185,-0.340171719,0.288118712
CHAD GANS ,186,-0.317413681,0.636650798
CHAD HACKYWICZ ,200,0,0
CHAD HINZ ,178,-0.246874701,2.384947517
CHAD HOHMANN ,185,0,0.241967348
CHAD KLASSEN ,180,0.017973598,1.470342286
CHAD KLETZEL ,183,-0.117085739,0.463146307
CHAD LABELLE ,175,-0.169667747,0.551824149
CHAD REICH ,178,-0.035381909,0.656411575
CHAD ROBINSON ,180,0.032072714,0.557595151
CHAD SCHOCKENMAIER ,185,-0.282880509,0.314274074
CHAD WOLKOWSKI ,188,-0.132556571,1.001571046
CHANCE BRAID ,185,0.058216218,0.445565832
CHANCE LUND ,193,0.07752665,0.41365443
CHANDLER STEPHENSON ,180,0.167855474,1.585306829
CHARLES INGLIS ,183,-0.092509732,1.13868283
CHARLES WELLS ,174,-0.042386132,0.712372928
CHASE CLAYTON ,180,-0.069439856,0.708906853
CHASE DE LEO ,175,0.048321724,1.753722666
CHASE LANG ,185,0.166857101,1.123381852
CHASE SCHABER ,181,0.188608962,0.952010638
CHASE SOUTO ,180,0.15067285,0.715589573
CHASE WITALA ,183,-0.007368708,1.357809244
CHASETON BRAID ,183,0,0.169801647
CHIP PETRINO ,178,0,0.197762822
CHRIS BRUTON ,178,-0.00937085,0.835593466
CHRIS CEDERSTRAND ,185,0,0.193573878
CHRIS CLOUD ,181,0.029189492,0.495701641
CHRIS COLLINS ,186,-0.249876428,0.958146456
CHRIS COOK ,191,0,0
CHRIS DI UBALDO ,188,-0.04306453,0.6706205
CHRIS DINGMAN ,193,-0.120876641,1.932682244
CHRIS DURAND ,188,-0.461309817,1.325469373
CHRIS FALLOON ,180,0.010893258,1.168500587
CHRIS FRANCIS ,185,0.315559827,0.968321757
CHRIS HARPER ,180,-0.09348891,0.530971552
CHRIS INGLIS ,188,-0.034224288,0.257547831
CHRIS JACOBSON ,183,0.193257388,0.68553306
CHRIS KIBERMANIS ,196,-0.078112705,0.188905283
CHRIS LANGKOW ,186,0.142542395,0.834045979
CHRIS LOW ,185,0.093815375,0.59504263
CHRIS MARTIN ,181,0,1.382670557
CHRIS NEISZNER ,178,0.1040522,0.520395451
CHRIS NIELSEN ,188,-0.129687324,1.527741608
CHRIS PETERSEN ,191,0.302248272,1.022607372
CHRIS RAY ,180,0.125655327,0.689900149
CHRIS SCHLENKER ,188,-0.144780911,0.546212561
CHRIS ST. JACQUES ,175,-0.168169737,2.178395015
CHRIS STEVENS ,179,0.16852049,0.884887512
CHRIS SZYSKY ,183,0.165820635,0.696068766
CHRIS THOMPSON ,183,0.178774252,0.641406694
CHRISTIAN MAGNUS ,181,0.025175932,0.514431548
CHRISTIAN STOCKL ,183,-0.284345783,0.248097024
CHUCK KOBASEW ,183,0,1.511205124
CLARKE BREITKREUZ ,185,0.234678129,0.46672005
CLARKE MACARTHUR ,183,-0.44105275,2.117684526
CLARKE WILM ,183,0.081149636,1.713937597
CLAYTON BAUER ,185,0.168571746,0.680158217
CLAYTON CUMISKEY ,178,-0.051771256,0.629698556
CLINT KEICHINGER ,183,0.120391638,0.234886312
CLINT ORR ,185,0,0.410114148
CLINTON PETTAPIECE ,180,-0.365523439,0.619096281
CODA GORDON ,185,-0.208128935,1.543123406
CODEY BURKI ,183,0.438112378,1.782752322
CODEY ITO ,179,0,0.273188941
CODY ALMOND ,188,0.227018892,1.156315218
CODY BEACH ,195,0.315067013,1.138501199
CODY BECKER ,183,0.118597743,0.232132691
CODY CHIKIE ,171,-0.151694518,0.952898818
CODY EAKIN ,183,0.277350277,1.85522161
CODY ESPOSITO ,188,-0.048778068,0.302778423
CODY FOWLIE ,183,0.167299104,0.771049655
CODY GROSS ,182,-0.078929857,0.394495605
CODY HANSON ,184,0.030354634,0.166406909
CODY HOLZAPFEL ,185,0,0.345667639
CODY JENSEN ,180,0.025380084,1.06850717
CODY LYSENG ,183,0,0.308894486
CODY MCLEOD ,188,0.09109478,0.773502489
CODY MCMULLIN ,180,0.065626073,0.408228569
CODY SMUK ,180,-0.047084362,0.425269728
CODY SYLVESTER ,180,0.187550522,1.138709399
CODY THIEL ,191,-0.126914349,0.192359597
COLBY ARMSTRONG ,188,-0.075856458,2.124815443
COLBY CAVE ,185,0.206341249,1.305151588
COLBY KULHANEK ,184,0.152098495,0.509866869
COLBY MCAULEY ,183,0.282292919,0.468210445
COLE BENSON ,171,0.081009142,0.489428145
COLE BYERS ,194,0,0.17283382
COLE CHORNEY ,183,0,0.45890359
COLE GRBAVAC ,183,0.120197202,0.406501031
COLE HUNTER ,191,0.389251577,0.25980987
COLE LINAKER ,188,0.101461854,0.67741023
COLE PENNER ,183,0,0.249557847
COLE SANFORD ,173,0.256786056,1.332666119
COLE ULLY ,183,0.148460734,1.704150703
COLIN CLOUTIER ,193,-0.158355305,1.501815213
COLIN FORBES ,191,0.139053108,1.364154831
COLIN FRASER ,184,-0.28336701,1.680642102
COLIN HAAS ,188,-0.129731107,0.143723506
COLIN JACOBS ,188,-0.13892007,1.158923655
COLIN KOBZA ,185,0,0
COLIN LAFRENIERE ,175,-0.150463281,0.498928167
COLIN LONG ,180,0.465774245,1.457136617
COLIN MCRAE ,185,-0.023175808,1.142159838
COLIN PATTERSON ,180,0.092230989,0.833183091
COLIN SLOBODLAN ,175,0,0.302459184
COLIN SMITH ,178,0.056393726,1.886809402
COLIN STONE ,183,0.368445276,0.610297011
COLLIN SHIRLEY ,188,0.045020085,1.183035374
COLLIN VALCOURT ,188,0.026456157,0.963834247
COLTEN MAYOR ,185,0.103365191,0.746680088
COLTEN VELOSO ,183,0,0.429664084
COLTON GILLIES ,193,0.353936783,1.051873707
COLTON GRAF ,183,-0.317619078,0.158809539
COLTON GRANT ,178,-0.047222469,0.49894032
COLTON HEFFLEY ,191,-0.036691953,0.506965844
COLTON KEHLER ,175,0,0.656046235
COLTON KROEKER ,188,0.431523662,0.494954924
COLTON MCCARTHY ,183,-0.115026539,0.47999594
COLTON ORR ,191,0.051731061,0.289111187
COLTON SCEVIOUR ,183,0.273197034,1.386225393
COLTON SISSONS ,185,-0.206131446,1.94856483
COLTON STEPHENSON ,177,0.120234738,0.448318464
COLTON YELLOW HORN ,175,0.081216438,1.81944633
CONNER BLEACKLEY ,183,-0.018403143,1.5049579
CONNOR CHARTIER ,178,-0.140522354,0.467517137
CONNOR CHAULK ,185,0,0.123257172
CONNOR GAY ,183,0.264510723,0.983449581
CONNOR HONEY ,185,0.500953296,1.355110191
CONNOR MACKENZIE ,188,0,0.201639456
CONNOR RANKIN ,183,-0.288594282,1.729090804
CONNOR REDMOND ,186,-0.197602392,0.338741665
CONNOR SANVIDO ,178,0.131953266,0.507870327
COREY COURCHENE ,185,0.076890767,0.427821158
COREY SCOTT ,184,-0.415474489,0.419585508
COREY TYRELL ,178,-0.138989577,0.379709336
CORY CYRENNE ,175,-0.202042438,2.119885523
CORY HINTZ ,183,0.046617061,0.507071173
CORY MILLETTE ,179,-0.056498866,1.032694632
CORY MORGAN ,184,0.428325095,0.859445978
CRAIG BILICK ,191,0,0.254702471
CRAIG BRUNEL ,183,-0.088661308,0.492645977
CRAIG CUNNINGHAM ,178,0.313377692,1.145805649
CRAIG CUTHBERT ,176,0.03413626,0.260463159
CRAIG LEVERTON ,178,-0.035282011,0.739686724
CRAIG MCCALLUM ,180,0.117587184,0.952975688
CRAIG ORFINO ,186,-0.021133629,0.332331023
CRAIG PRIESTLAY ,180,-0.131161713,0.321894563
CRAIG STAHL ,183,0.015138919,0.518689012
